name,born,position,debut,stats
Billy Burnet,"
March 6, 1886, ?
   ", Centre,"Scotland v England at Inverleith, Mar 16, 1912 ","{'Mat': '1', 'Start': '1', 'Sub': '0', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '1', 'Lost': '0', 'Draw': '0'}"
Charlie Usher,"
September 26, 1891, ?
   ", No. 8,"Scotland v England at Inverleith, Mar 16, 1912 ","{'Mat': '16', 'Start': '16', 'Sub': '0', 'Pts': '6', 'Tries': '2', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '8', 'Lost': '6', 'Draw': '2'}"
Patrick Blair,"
July 18, 1891, Wanlockhead
   ", Prop,"Scotland v South Africa at Inverleith, Nov 23, 1912 ","{'Mat': '5', 'Start': '5', 'Sub': '0', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '2', 'Lost': '3', 'Draw': '0'}"
Roland Gordon,"
January 22, 1893, Selangor, Malaya
   ", Centre,"France v Scotland at Parc des Princes, Jan 1, 1913 ","{'Mat': '3', 'Start': '3', 'Sub': '0', 'Pts': '6', 'Tries': '2', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '2', 'Lost': '1', 'Draw': '0'}"
George Ledingham,"
March 8, 1890, Aberdeen
   ", Forward,"France v Scotland at Parc des Princes, Jan 1, 1913 ","{'Mat': '1', 'Start': '1', 'Sub': '0', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '1', 'Lost': '0', 'Draw': '0'}"
John McDougall,"
December 5, 1890, Greenock
   ", Lock,"France v Scotland at Parc des Princes, Jan 1, 1913 ","{'Mat': '5', 'Start': '5', 'Sub': '0', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '1', 'Lost': '4', 'Draw': '0'}"
Bill Stewart,"
October 23, 1889, Launceston, TAS
   ", Wing,"France v Scotland at Parc des Princes, Jan 1, 1913 ","{'Mat': '4', 'Start': '4', 'Sub': '0', 'Pts': '24', 'Tries': '8', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '2', 'Lost': '2', 'Draw': '0'}"
Rufus Bruce-Lockhart,"
March 4, 1889, Beith, Ayrshire
   ", Centre,"Scotland v Wales at Inverleith, Feb 1, 1913 ","{'Mat': '2', 'Start': '2', 'Sub': '0', 'Pts': '4', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '1', 'GfM': '0', 'Won': '0', 'Lost': '2', 'Draw': '0'}"
Thomas Bowie,"
April 28, 1889, Edinburgh
   ", Fly-half,"Scotland v Ireland at Inverleith, Feb 22, 1913 ","{'Mat': '4', 'Start': '4', 'Sub': '0', 'Pts': '7', 'Tries': '1', 'Conv': '0', 'Pens': '0', 'Drop': '1', 'GfM': '0', 'Won': '1', 'Lost': '3', 'Draw': '0'}"
George Maxwell,"
October 18, 1892, Edinburgh
   ", Flanker,"Scotland v Ireland at Inverleith, Feb 22, 1913 ","{'Mat': '13', 'Start': '13', 'Sub': '0', 'Pts': '7', 'Tries': '0', 'Conv': '2', 'Pens': '1', 'Drop': '0', 'GfM': '0', 'Won': '3', 'Lost': '9', 'Draw': '1'}"
